model,short_name,features,label_set,attribute,n,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EOD,EOD_ci_lo,EOD_ci_hi,EO,EO_ci_lo,EO_ci_hi,KL_extreme,KL_mean_pairwise,KS_min_p_adj,KW_stat,KW_p,chi2_p,EEOC_pass,highest_SR_group,highest_TPR_group,cohens_d_extreme,cohens_h_extreme
M1-Fair (CV7),M1-Fair,cv7,blind,gender,4800,0.012200121869242853,0.0006620259656263311,0.04048489498404681,0.9747336652260992,0.9188793870810171,0.9986044900798895,0.012408640153724781,0.0007115004661437803,0.04616181804281868,0.018503050417132294,0.004832418411830351,0.05385704342538051,0.018333418964047284,0.0198351225344002,0.3181152313880179,,,0.4138323524315346,True,Female,Female,0.02584907561668453,0.024427253187033537
M1-Fair (CV7),M1-Fair,cv7,blind,ethnicity,4800,0.018000994922735547,0.0051971611380881525,0.05753839458042694,0.9630956466558314,0.8869095228976193,0.9891451517852369,0.03908946430578075,0.0111015338203034,0.08240461503960898,0.03908946430578075,0.020495501631875322,0.08370156887397999,0.02954747454426241,0.04858813452830835,1.0,1.0114856411185453,0.6030574455386306,0.5474413299965666,True,G1,G1,0.033893992839849604,0.03603643571561177
M2-Multimodal (CV7+Face),M2-Multimodal,cv7+face,blind,gender,4800,0.014290375611842487,0.000584913942741859,0.04303309814870897,0.9704823797458184,0.9143818189959555,0.9987784446987633,0.015898614876070805,0.0009670017789836977,0.05258179755074462,0.019284308330154043,0.005556731826029462,0.05644951161666608,0.01874528860741049,0.01898081462549463,0.17642199284363044,,,0.3359957520097639,True,Female,Female,0.031060072273795,0.028612059078964025
M2-Multimodal (CV7+Face),M2-Multimodal,cv7+face,blind,ethnicity,4800,0.019252149743767877,0.005641161939807177,0.05785500795064992,0.9606822293965304,0.8861630912508353,0.9882362443723538,0.04149904483649847,0.011983687350960098,0.08175421692119869,0.04149904483649847,0.022764220758839722,0.08282346388828342,0.025521041462965747,0.0183752169722023,1.0,1.2415680166104721,0.5375228499735378,0.4574536018172667,True,G1,G1,0.035228904184056616,0.03853744627065048
M3-Gender-Biased (CV7),M3-Gender-Bias,cv7,gender-bias,gender,4800,0.012546211069957458,0.0006077442472734424,0.04356004852746186,0.9739025556705022,0.9121488087710743,0.9987193359505954,0.19773410585656126,0.16445512647112515,0.23138086495068202,0.19773410585656126,0.16950929865361836,0.23138086495068202,0.01924344230047318,0.01970784580301279,0.2537987444452562,,,0.40014717159355606,True,Female,Female,0.02490482127430588,0.025125857461909318
M3-Gender-Biased (CV7),M3-Gender-Bias,cv7,gender-bias,ethnicity,4800,0.016758131124499587,0.0048510949104234565,0.05501052471075229,0.9653766591404445,0.8903017074865183,0.9899002373896617,0.06671116054875781,0.028669016045042454,0.11100943186261403,0.06671116054875781,0.03469038983003469,0.11100943186261403,0.030117169886776242,0.027605620212879965,1.0,0.9475927042330928,0.6226340377614368,0.6193923946398772,True,G1,G1,0.03168595015468987,0.033557718148709004
M4-Ethnicity-Biased (CV7),M4-Eth-Bias,cv7,eth-bias,gender,4800,0.009558174503627725,0.000556326624293485,0.03731662771924453,0.9799592135296608,0.9242824812514864,0.9988232523314211,0.011311098114865414,0.0006637754684781921,0.04672685700685149,0.01462644411142644,0.004232879348117834,0.05307126710556964,0.025747621379259487,0.024746264994593,0.24270091692927528,,,0.525918024404519,True,Female,Male,0.024617843243144356,0.019146352504803676
M4-Ethnicity-Biased (CV7),M4-Eth-Bias,cv7,eth-bias,ethnicity,4800,0.12427014693024546,0.0904510112587032,0.15726554975395,0.771119071185056,0.7179674591346924,0.8282322690926279,0.25479562929987853,0.21867170757585488,0.28944640680474704,0.25479562929987853,0.21997283441506743,0.28944640680474704,0.0774533666919218,0.059650249685909394,5.723549726653967e-14,74.15549703451366,7.894750647739411e-17,4.097260210701035e-12,False,G1,G3,0.29793455613219555,0.2493720455720152
M5-Robust (CV9),M5-CV9,cv9,blind,gender,4800,0.003764610026237125,0.00045391489508704726,0.03308236306348232,0.9922839742355426,0.9344899622762548,0.9990757494255305,6.00487252513382e-05,0.0001981123776460536,0.01834130370050017,0.002992008481071208,0.0016164530680001065,0.018931459417581023,0.02345275559272807,0.02345275559272807,0.7610231802183484,,,0.8165315545158014,True,Male,Male,0.007832493549038002,0.0075321857539198955
M5-Robust (CV9),M5-CV9,cv9,blind,ethnicity,4800,0.02298074113847587,0.006176451347435212,0.06136600604856477,0.9541248033593629,0.8810060623618551,0.9873834485083524,0.0036470268563790764,0.0022422558978170888,0.02751548170814917,0.0036470268563790764,0.005468242329675815,0.02786645173214165,0.18696538390866324,0.18262942753132913,1.0,1.9406016153562156,0.3789690241638907,0.3450315432531864,True,G1,G1,0.04633550211917287,0.045975771384377806
