model,attribute,group,n,selection_rate,tpr,fpr,ppv,mean_score,std_score
M1-Fair (CV7),gender,Male,2437,0.47066064833812066,0.7673841059602649,0.1790073230268511,0.8081952920662598,0.48230262780353156,0.3345347966435688
M1-Fair (CV7),gender,Female,2363,0.4828607702073635,0.7797927461139896,0.1975103734439834,0.7914110429447853,0.49101600796905426,0.33955689871517425
M1-Fair (CV7),ethnicity,G1,1595,0.4877742946708464,0.792336217552534,0.1743002544529262,0.8239074550128535,0.49338445612442744,0.3368123656336129
M1-Fair (CV7),ethnicity,G2,1588,0.46977329974811083,0.7532467532467533,0.20293398533007334,0.7774798927613941,0.48197913509599205,0.3359733510054184
M1-Fair (CV7),ethnicity,G3,1617,0.47247990105132964,0.7738246505717916,0.18674698795180722,0.7971204188481675,0.4844225459104416,0.33821654773282145
M2-Multimodal (CV7+Face),gender,Male,2437,0.4698399671727534,0.7682119205298014,0.17656631407648496,0.8104803493449781,0.48134785973575606,0.33495192396352963
M2-Multimodal (CV7+Face),gender,Female,2363,0.4841303427845959,0.7841105354058722,0.195850622406639,0.7937062937062938,0.4918311608856387,0.34000029971662105
M2-Multimodal (CV7+Face),ethnicity,G1,1595,0.4896551724137931,0.796044499381953,0.1743002544529262,0.8245838668373879,0.49443260092750924,0.3371189748417892
M2-Multimodal (CV7+Face),ethnicity,G2,1588,0.4704030226700252,0.7545454545454545,0.20293398533007334,0.7777777777777778,0.4825698628929177,0.33613271374125797
M2-Multimodal (CV7+Face),ethnicity,G3,1617,0.4706246134817563,0.7763659466327827,0.18072289156626506,0.8028909329829172,0.48256080803677875,0.3390371586428009
M3-Gender-Biased (CV7),gender,Male,2437,0.46819860484201886,0.6748387096774193,0.10710259301014656,0.9167397020157756,0.4837502231810063,0.30959763894222136
M3-Gender-Biased (CV7),gender,Female,2363,0.4807448159119763,0.8725728155339806,0.2709551656920078,0.6329225352112676,0.4915274174685162,0.3148846732798741
M3-Gender-Biased (CV7),ethnicity,G1,1595,0.48401253918495296,0.7793548387096774,0.2048780487804878,0.7823834196891192,0.4925724832415775,0.3120949510709644
M3-Gender-Biased (CV7),ethnicity,G2,1588,0.4672544080604534,0.7126436781609196,0.22857142857142856,0.7520215633423181,0.48269205524302533,0.3113542787357442
M3-Gender-Biased (CV7),ethnicity,G3,1617,0.47186147186147187,0.7389705882352942,0.19975031210986266,0.7903014416775884,0.48745237283486453,0.3131608517878976
M4-Ethnicity-Biased (CV7),gender,Male,2437,0.4673779236766516,0.7433930093776641,0.21123417721518986,0.7655838454784899,0.48483953687076614,0.2950959287467748
M4-Ethnicity-Biased (CV7),gender,Female,2363,0.4769360981802793,0.7320819112627986,0.2258606213266163,0.7613132209405501,0.49213289500191787,0.2973370939703725
M4-Ethnicity-Biased (CV7),ethnicity,G1,1595,0.5429467084639499,0.6857142857142857,0.07027027027027027,0.9699769053117783,0.5355533213673013,0.28849661862326925
M4-Ethnicity-Biased (CV7),ethnicity,G2,1588,0.4552896725440806,0.727509778357236,0.20097442143727162,0.7717842323651453,0.48220123850566377,0.29495720460749636
M4-Ethnicity-Biased (CV7),ethnicity,G3,1617,0.4186765615337044,0.9405099150141643,0.27294303797468356,0.49039881831610044,0.4480648533801789,0.2984674492574097
M5-Robust (CV9),gender,Male,2437,0.487894952810833,0.9586092715231788,0.025223759153783564,0.9739276703111859,0.49378243718740666,0.47474841446474497
M5-Robust (CV9),gender,Female,2363,0.4841303427845959,0.9585492227979274,0.028215767634854772,0.9702797202797203,0.49006507924560283,0.47426059396765874
M5-Robust (CV9),ethnicity,G1,1595,0.5009404388714733,0.9604449938195303,0.027989821882951654,0.9724655819774718,0.5064132188244549,0.4740620071633911
M5-Robust (CV9),ethnicity,G2,1588,0.47795969773299746,0.9584415584415584,0.02567237163814181,0.9723320158102767,0.4844328570349168,0.47438872686859596
M5-Robust (CV9),ethnicity,G3,1617,0.479282622139765,0.9567979669631512,0.02650602409638554,0.9716129032258064,0.4850730492805296,0.47475081779226896
M6-Robust (CV9+Face),gender,Male,2437,0.4899466557242511,0.9594370860927153,0.028478437754271765,0.9706867671691792,0.4933516700654607,0.47493143624583334
M6-Robust (CV9+Face),gender,Female,2363,0.48582310622090563,0.9602763385146805,0.02987551867219917,0.9686411149825784,0.49053710803143635,0.47436013721602954
M6-Robust (CV9+Face),ethnicity,G1,1595,0.5015673981191222,0.9604449938195303,0.029262086513994912,0.97125,0.5056474680167732,0.47420147059227025
M6-Robust (CV9+Face),ethnicity,G2,1588,0.4817380352644836,0.961038961038961,0.030562347188264057,0.9673202614379085,0.4860516986071922,0.4747190779401644
M6-Robust (CV9+Face),ethnicity,G3,1617,0.4805194805194805,0.9580686149936467,0.027710843373493974,0.9703989703989704,0.48427915729921905,0.47473845119044183
