model,features,label_set,attribute,protocol,threshold,n_selected,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EEOC_pass,chi2_p,EOD,EOD_ci_lo,EOD_ci_hi,best_group,worst_group,median_worst_group,worst_group_flip,median_split_DPD,median_split_DPD_ci_lo,median_split_DPD_ci_hi,median_split_DIR,median_split_DIR_ci_lo,median_split_DIR_ci_hi,median_split_EOD,median_split_EOD_ci_lo,median_split_EOD_ci_hi,median_split_EEOC,verdict_change
M1-Fair (CV7),cv7,blind,gender,p75,0.49988122052840483,2288,0.012200121869242853,0.0007069169141817697,0.041228154685943666,0.9747336652260992,0.9175566732888788,0.9985285063434515,True,0.4138323524315346,0.00027848947309783156,0.0002523542871141177,0.01662997292164543,Female,Male,Male,False,0.0122001218692428,0.0006620259656263,0.0404848949840468,0.9747336652260992,0.9188793870810172,0.9986044900798896,0.0124086401537247,0.0007115004661437,0.0461618180428186,True,False
M1-Fair (CV7),cv7,blind,ethnicity,p75,0.49988122052840483,2288,0.018000994922735547,0.004949985342746649,0.056071110163039346,0.9630956466558314,0.889396905446038,0.9895252565358019,True,0.5474413299965666,0.002389993299084292,0.0021734871568587443,0.025596637276423667,G1,G2,G2,False,0.0180009949227355,0.0051971611380881,0.0575383945804269,0.9630956466558314,0.8869095228976193,0.9891451517852368,0.0390894643057807,0.0111015338203034,0.0824046150396089,True,False
M2-Multimodal (CV7+Face),cv7+face,blind,gender,p75,0.49988122052840483,2289,0.014290375611842487,0.0007623319250275401,0.04100097240747613,0.9704823797458184,0.917150675749195,0.9984063356706707,True,0.3359957520097639,0.0020515391184878773,0.0002880508071495508,0.018843283285200137,Female,Male,Male,False,0.0142903756118424,0.0005849139427418,0.0430330981487089,0.9704823797458184,0.9143818189959556,0.9987784446987632,0.0158986148760708,0.0009670017789836,0.0525817975507446,True,False
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,p75,0.49988122052840483,2289,0.019252149743767877,0.005974913222152403,0.06042572117128681,0.9606822293965304,0.8819946914611261,0.9877018571827363,True,0.4574536018172667,0.00195701388320646,0.0023617288596821133,0.026871455899432926,G1,G2,G2,False,0.0192521497437678,0.0056411619398071,0.0578550079506499,0.9606822293965304,0.8861630912508353,0.9882362443723538,0.0414990448364984,0.01198368735096,0.0817542169211986,True,False
M3-Gender-Biased (CV7),cv7,gender-bias,gender,p75,0.4597464089000166,2455,0.004521039809635252,0.00043190111484106287,0.03451266552599195,0.991199985938906,0.934440193261112,0.9991677021547126,True,0.7761089590818088,0.08716136631330973,0.06908567525370801,0.10621499968957591,Female,Male,Male,False,0.0125462110699574,0.0006077442472734,0.0435600485274618,0.9739025556705022,0.9121488087710744,0.9987193359505954,0.1977341058565612,0.1644551264711251,0.231380864950682,True,False
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,p75,0.4597464089000166,2455,0.020370648200058405,0.005529526660229744,0.05721577174079161,0.9609480962991669,0.8933782702487292,0.9891349369161853,True,0.5164589867910874,0.016877385496183228,0.0049825681786764275,0.05448790643148131,G1,G2,G2,False,0.0167581311244995,0.0048510949104234,0.0550105247107522,0.9653766591404443,0.8903017074865183,0.9899002373896616,0.0667111605487578,0.0286690160450424,0.111009431862614,True,False
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,p75,0.5190537387565908,2194,0.011596158878733498,0.0005872452136445217,0.04024986921534069,0.9749527208131195,0.915965401111675,0.998725992923639,True,0.43697726729798114,0.02965315891035758,0.0018024904424523286,0.06803328798679621,Female,Male,Male,False,0.0095581745036277,0.0005563266242934,0.0373166277192445,0.9799592135296608,0.9242824812514864,0.9988232523314212,0.0113110981148654,0.0006637754684781,0.0467268570068514,True,False
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,p75,0.5190537387565908,2194,0.13213059518478237,0.09906737100152041,0.16597081599167646,0.7505937286157066,0.6939223989549312,0.8069853459233626,False,2.563863286551587e-13,0.17046979865771816,0.14513928658007436,0.19755289084384584,G1,G3,G3,False,0.1242701469302454,0.0904510112587032,0.15726554975395,0.771119071185056,0.7179674591346924,0.8282322690926279,0.2547956292998785,0.2186717075758548,0.289446406804747,False,False
M5-Robust (CV9),cv9,blind,gender,p75,0.49988122052840483,2333,0.003764610026237125,0.0004210055741568783,0.03471203128959889,0.9922839742355426,0.9314883815854703,0.9991389717910141,True,0.8165315545158014,0.0,0.0,0.0,Male,Female,Female,False,0.0037646100262371,0.000453914895087,0.0330823630634823,0.9922839742355426,0.9344899622762548,0.9990757494255303,6.00487252513382e-05,0.000198112377646,0.0183413037005001,True,False
M5-Robust (CV9),cv9,blind,ethnicity,p75,0.49988122052840483,2333,0.02298074113847587,0.006552506659724981,0.06017047361039629,0.9541248033593629,0.883821687874958,0.9866836983851968,True,0.3450315432531864,0.0,0.0,0.0,G1,G2,G2,False,0.0229807411384758,0.0061764513474352,0.0613660060485647,0.9541248033593628,0.8810060623618551,0.9873834485083524,0.003647026856379,0.002242255897817,0.0275154817081491,True,False
M6-Robust (CV9+Face),cv9+face,blind,gender,p75,0.49988122052840483,2342,0.0041235495033454805,0.0005394046781958151,0.03353106920745426,0.9915836765999556,0.9325542479306264,0.9989075951105004,True,0.797288386323894,0.0,0.0,0.0,Male,Female,Female,False,0.0041235495033454,0.0003534673999183,0.0329467144617461,0.9915836765999556,0.934578677548596,0.9992823535926194,0.0008392524219652,0.0002037451156443,0.0186595981877387,True,False
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,p75,0.49988122052840483,2342,0.021047917599641697,0.004986839581520912,0.05898862695561726,0.9580357142857143,0.8864969995063765,0.9898652514125036,True,0.40936068738589304,0.0,0.0,0.0,G1,G3,G3,False,0.0210479175996416,0.0064597602550027,0.0585125361472321,0.9580357142857144,0.8871760251423588,0.9867783180087456,0.0029703460453143,0.0019689321954069,0.0262107435985893,True,False
