model,attribute,protocol,group,n,selected,selection_rate,tpr,median_selection_rate,median_tpr
M1-Fair (CV7),gender,p75,Male,2437,1147,0.47066064833812066,0.9822695035460993,0.4706606483381206,0.7673841059602649
M1-Fair (CV7),gender,p75,Female,2363,1141,0.4828607702073635,0.9825479930191972,0.4828607702073635,0.7797927461139896
M1-Fair (CV7),ethnicity,p75,G1,1595,778,0.4877742946708464,0.9826732673267327,0.4877742946708464,0.792336217552534
M1-Fair (CV7),ethnicity,p75,G2,1588,746,0.46977329974811083,0.9834710743801653,0.4697732997481108,0.7532467532467533
M1-Fair (CV7),ethnicity,p75,G3,1617,764,0.47247990105132964,0.981081081081081,0.4724799010513296,0.7738246505717916
M2-Multimodal (CV7+Face),gender,p75,Male,2437,1145,0.4698399671727534,0.9804964539007093,0.4698399671727534,0.7682119205298014
M2-Multimodal (CV7+Face),gender,p75,Female,2363,1144,0.4841303427845959,0.9825479930191972,0.4841303427845959,0.7841105354058722
M2-Multimodal (CV7+Face),ethnicity,p75,G1,1595,781,0.4896551724137931,0.9826732673267327,0.4896551724137931,0.796044499381953
M2-Multimodal (CV7+Face),ethnicity,p75,G2,1588,747,0.4704030226700252,0.9807162534435262,0.4704030226700252,0.7545454545454545
M2-Multimodal (CV7+Face),ethnicity,p75,G3,1617,761,0.4706246134817563,0.981081081081081,0.4706246134817563,0.7763659466327827
M3-Gender-Biased (CV7),gender,p75,Male,2437,1241,0.5092326631103816,0.9128386336866903,0.4681986048420188,0.6748387096774193
M3-Gender-Biased (CV7),gender,p75,Female,2363,1214,0.5137537029200169,1.0,0.4807448159119763,0.8725728155339806
M3-Gender-Biased (CV7),ethnicity,p75,G1,1595,832,0.5216300940438872,0.9465648854961832,0.4840125391849529,0.7793548387096774
M3-Gender-Biased (CV7),ethnicity,p75,G2,1588,796,0.5012594458438288,0.931758530183727,0.4672544080604534,0.7126436781609196
M3-Gender-Biased (CV7),ethnicity,p75,G3,1617,827,0.5114409400123686,0.9296875,0.4718614718614718,0.7389705882352942
M4-Ethnicity-Biased (CV7),gender,p75,Male,2437,1100,0.45137464095199015,0.8918439716312057,0.4673779236766516,0.7433930093776641
M4-Ethnicity-Biased (CV7),gender,p75,Female,2363,1094,0.46297079983072364,0.8621908127208481,0.4769360981802793,0.7320819112627986
M4-Ethnicity-Biased (CV7),ethnicity,p75,G1,1595,845,0.5297805642633229,0.8295302013422818,0.5429467084639499,0.6857142857142857
M4-Ethnicity-Biased (CV7),ethnicity,p75,G2,1588,706,0.4445843828715365,0.9583333333333334,0.4552896725440806,0.727509778357236
M4-Ethnicity-Biased (CV7),ethnicity,p75,G3,1617,643,0.3976499690785405,1.0,0.4186765615337044,0.9405099150141644
M5-Robust (CV9),gender,p75,Male,2437,1189,0.487894952810833,1.0,0.487894952810833,0.9586092715231788
M5-Robust (CV9),gender,p75,Female,2363,1144,0.4841303427845959,1.0,0.4841303427845959,0.9585492227979274
M5-Robust (CV9),ethnicity,p75,G1,1595,799,0.5009404388714733,1.0,0.5009404388714733,0.9604449938195304
M5-Robust (CV9),ethnicity,p75,G2,1588,759,0.47795969773299746,1.0,0.4779596977329974,0.9584415584415584
M5-Robust (CV9),ethnicity,p75,G3,1617,775,0.479282622139765,1.0,0.479282622139765,0.9567979669631512
M6-Robust (CV9+Face),gender,p75,Male,2437,1194,0.4899466557242511,1.0,0.4899466557242511,0.9594370860927152
M6-Robust (CV9+Face),gender,p75,Female,2363,1148,0.48582310622090563,1.0,0.4858231062209056,0.9602763385146804
M6-Robust (CV9+Face),ethnicity,p75,G1,1595,800,0.5015673981191222,1.0,0.5015673981191222,0.9604449938195304
M6-Robust (CV9+Face),ethnicity,p75,G2,1588,765,0.4817380352644836,1.0,0.4817380352644836,0.961038961038961
M6-Robust (CV9+Face),ethnicity,p75,G3,1617,777,0.4805194805194805,1.0,0.4805194805194805,0.9580686149936468
