model,features,label_set,attribute,protocol,n_selected,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EEOC_pass,chi2_p,repo_pvalue,best_group,worst_group,median_worst_group,worst_group_flip,median_split_DPD,median_split_DPD_ci_lo,median_split_DPD_ci_hi,median_split_DIR,median_split_DIR_ci_lo,median_split_DIR_ci_hi,median_split_EEOC,verdict_change
M1-Fair (CV7),cv7,blind,gender,top1000,1000,0.020595172706846465,0.00228921289664435,0.04347551077608788,0.9058677115932724,0.8112034168369925,0.9890722882986639,True,0.08525481293008184,0.9342359767891683,Female,Male,Male,False,0.0122001218692428,0.0006620259656263,0.0404848949840468,0.9747336652260992,0.9188793870810172,0.9986044900798896,True,False
M1-Fair (CV7),cv7,blind,ethnicity,top1000,1000,0.019821861453060974,0.004617301272514493,0.0488721185692693,0.9088879855399646,0.7898130403460814,0.9780146915464543,True,0.3826629056964974,0.904899135446686,G1,G2,G2,False,0.0180009949227355,0.0051971611380881,0.0575383945804269,0.9630956466558314,0.8869095228976193,0.9891451517852368,True,False
M2-Multimodal (CV7+Face),cv7+face,blind,gender,top1000,1000,0.023929298473890775,0.0027454243206047712,0.04767953984073235,0.8914684600886681,0.7953184395864645,0.9869111634012576,True,0.044926788945140135,0.9193857965451055,Female,Male,Male,False,0.0142903756118424,0.0005849139427418,0.0430330981487089,0.9704823797458184,0.9143818189959556,0.9987784446987632,True,False
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,top1000,1000,0.019192138531146624,0.004698639193380529,0.04808920504269728,0.9117825332646142,0.7932062105830578,0.9776613862765047,True,0.40977575459737703,0.9077809798270894,G1,G2,G2,False,0.0192521497437678,0.0056411619398071,0.0578550079506499,0.9606822293965304,0.8861630912508353,0.9882362443723538,True,False
M3-Gender-Biased (CV7),cv7,gender-bias,gender,top1000,1000,0.023095767032129677,0.0023246852009831697,0.04508720135397083,0.8950475048136107,0.8049865085453598,0.9889046354335822,True,0.053082525395187374,0.923076923076923,Female,Male,Male,False,0.0125462110699574,0.0006077442472734,0.0435600485274618,0.9739025556705022,0.9121488087710744,0.9987193359505954,True,False
M3-Gender-Biased (CV7),cv7,gender-bias,ethnicity,top1000,1000,0.01417370087568992,0.003996717767271559,0.04628839253464687,0.9335086679508076,0.8003544064496753,0.9810366499895842,True,0.533574546789518,0.9186046511627908,G1,G2,G2,False,0.0167581311244995,0.0048510949104234,0.0550105247107522,0.9653766591404443,0.8903017074865183,0.9899002373896616,True,False
M4-Ethnicity-Biased (CV7),cv7,eth-bias,gender,top1000,1000,0.0022574809881028834,0.0003820547496331511,0.026885868536991705,0.9892233786365917,0.8786482855794864,0.9981677897723273,True,0.8752518543876938,0.9801980198019802,Female,Male,Male,False,0.0095581745036277,0.0005563266242934,0.0373166277192445,0.9799592135296608,0.9242824812514864,0.9988232523314212,True,False
M4-Ethnicity-Biased (CV7),cv7,eth-bias,ethnicity,top1000,1000,0.07137099353848123,0.04343336603395347,0.09967799011650343,0.7096001665972511,0.6191646029312219,0.8101648252311382,False,3.854602701055155e-06,0.7193877551020407,G1,G3,G3,False,0.1242701469302454,0.0904510112587032,0.15726554975395,0.771119071185056,0.7179674591346924,0.8282322690926279,False,False
M5-Robust (CV9),cv9,blind,gender,top1000,1000,0.010592795405713618,0.0005556520232969312,0.030382202904156663,0.9504341078342549,0.8641035298137442,0.9973364687520098,True,0.3854522271212669,0.9801980198019802,Female,Male,Female,True,0.0037646100262371,0.000453914895087,0.0330823630634823,0.9922839742355426,0.9344899622762548,0.9990757494255303,True,False
M5-Robust (CV9),cv9,blind,ethnicity,top1000,1000,0.025464494681901095,0.007495263541600086,0.05569049507052995,0.8859104802875498,0.7667012368092723,0.9646192981504584,True,0.18306607480212056,0.8820224719101124,G1,G2,G2,False,0.0229807411384758,0.0061764513474352,0.0613660060485647,0.9541248033593628,0.8810060623618551,0.9873834485083524,True,False
M6-Robust (CV9+Face),cv9+face,blind,gender,top1000,1000,0.010592795405713618,0.0005904181045807699,0.03312744354491985,0.9504341078342549,0.8529014130673337,0.9971700167183133,True,0.3854522271212669,0.9801980198019802,Female,Male,Female,True,0.0041235495033454,0.0003534673999183,0.0329467144617461,0.9915836765999556,0.934578677548596,0.9992823535926194,True,False
M6-Robust (CV9+Face),cv9+face,blind,ethnicity,top1000,1000,0.022951130342774545,0.006802232770300895,0.053849856525927386,0.896590246054448,0.7727809533481059,0.9679371314240384,True,0.24552498925065241,0.8926553672316385,G1,G2,G3,True,0.0210479175996416,0.0064597602550027,0.0585125361472321,0.9580357142857144,0.8871760251423588,0.9867783180087456,True,False
