model,attribute,protocol,group,n,selected,selection_rate,share_of_top1000,median_selection_rate
M1-Fair (CV7),gender,top1000,Male,2437,483,0.19819450143619205,0.483,0.4706606483381206
M1-Fair (CV7),gender,top1000,Female,2363,517,0.21878967414303852,0.517,0.4828607702073635
M1-Fair (CV7),ethnicity,top1000,G1,1595,347,0.2175548589341693,0.347,0.4877742946708464
M1-Fair (CV7),ethnicity,top1000,G2,1588,314,0.1977329974811083,0.314,0.4697732997481108
M1-Fair (CV7),ethnicity,top1000,G3,1617,339,0.20964749536178107,0.339,0.4724799010513296
M2-Multimodal (CV7+Face),gender,top1000,Male,2437,479,0.19655313910545752,0.479,0.4698399671727534
M2-Multimodal (CV7+Face),gender,top1000,Female,2363,521,0.2204824375793483,0.521,0.4841303427845959
M2-Multimodal (CV7+Face),ethnicity,top1000,G1,1595,347,0.2175548589341693,0.347,0.4896551724137931
M2-Multimodal (CV7+Face),ethnicity,top1000,G2,1588,315,0.19836272040302266,0.315,0.4704030226700252
M2-Multimodal (CV7+Face),ethnicity,top1000,G3,1617,338,0.20902906617192332,0.338,0.4706246134817563
M3-Gender-Biased (CV7),gender,top1000,Male,2437,480,0.19696347968814115,0.48,0.4681986048420188
M3-Gender-Biased (CV7),gender,top1000,Female,2363,520,0.22005924672027083,0.52,0.4807448159119763
M3-Gender-Biased (CV7),ethnicity,top1000,G1,1595,340,0.21316614420062696,0.34,0.4840125391849529
M3-Gender-Biased (CV7),ethnicity,top1000,G2,1588,316,0.19899244332493704,0.316,0.4672544080604534
M3-Gender-Biased (CV7),ethnicity,top1000,G3,1617,344,0.21273964131106987,0.344,0.4718614718614718
M4-Ethnicity-Biased (CV7),gender,top1000,Male,2437,505,0.20722199425523186,0.505,0.4673779236766516
M4-Ethnicity-Biased (CV7),gender,top1000,Female,2363,495,0.20947947524333474,0.495,0.4769360981802793
M4-Ethnicity-Biased (CV7),ethnicity,top1000,G1,1595,392,0.2457680250783699,0.392,0.5429467084639499
M4-Ethnicity-Biased (CV7),ethnicity,top1000,G2,1588,326,0.2052896725440806,0.326,0.4552896725440806
M4-Ethnicity-Biased (CV7),ethnicity,top1000,G3,1617,282,0.17439703153988867,0.282,0.4186765615337044
M5-Robust (CV9),gender,top1000,Male,2437,495,0.20311858842839556,0.495,0.487894952810833
M5-Robust (CV9),gender,top1000,Female,2363,505,0.21371138383410918,0.505,0.4841303427845959
M5-Robust (CV9),ethnicity,top1000,G1,1595,356,0.2231974921630094,0.356,0.5009404388714733
M5-Robust (CV9),ethnicity,top1000,G2,1588,314,0.1977329974811083,0.314,0.4779596977329974
M5-Robust (CV9),ethnicity,top1000,G3,1617,330,0.20408163265306123,0.33,0.479282622139765
M6-Robust (CV9+Face),gender,top1000,Male,2437,495,0.20311858842839556,0.495,0.4899466557242511
M6-Robust (CV9+Face),gender,top1000,Female,2363,505,0.21371138383410918,0.505,0.4858231062209056
M6-Robust (CV9+Face),ethnicity,top1000,G1,1595,354,0.22194357366771159,0.354,0.5015673981191222
M6-Robust (CV9+Face),ethnicity,top1000,G2,1588,316,0.19899244332493704,0.316,0.4817380352644836
M6-Robust (CV9+Face),ethnicity,top1000,G3,1617,330,0.20408163265306123,0.33,0.4805194805194805
