model,features,label_set,attribute,threshold,n_selected,DPD,DPD_ci_lo,DPD_ci_hi,DIR,DIR_ci_lo,DIR_ci_hi,EEOC_pass,chi2_p,EOD_labels,share_delta,median_split_DIR,median_split_DPD
M1-Fair (CV7),cv7,blind,gender,0.02,96,0.00021671817485787934,0.0001329239200547803,0.009007078044284406,0.9892215879157418,0.6331096609437316,0.993375915629218,True,1.0,0.150238818931828,0.020833333333333315,0.9747336652260992,0.0122001218692428
M1-Fair (CV7),cv7,blind,gender,0.05,240,0.0007085017254969128,0.0002917028763791237,0.014691160594284696,0.9859311800222755,0.7426275884551248,0.994183094375325,True,0.9630200158294273,0.01667708984782157,-0.008333333333333304,0.9747336652260992,0.0122001218692428
M1-Fair (CV7),cv7,blind,gender,0.1,480,0.00725172354332132,0.0002500591285791925,0.023171869333601075,0.930057866396456,0.7925963675583221,0.9975024854817816,True,0.4300306808518445,0.007049100631988381,0.020833333333333315,0.9747336652260992,0.0122001218692428
M1-Fair (CV7),cv7,blind,gender,0.2,960,0.017004041411925852,0.001329170020461218,0.03950708264255515,0.9184978704738727,0.8204596176201134,0.993376154734494,True,0.15090860539943127,0.005716369129002419,0.027083333333333348,0.9747336652260992,0.0122001218692428
M1-Fair (CV7),cv7,blind,gender,0.3,1440,0.014253387654114325,0.0010002007347307829,0.04019676564757807,0.9536077754453551,0.8744062259982076,0.9966716245592503,True,0.29564137536175616,0.017111234602204317,0.008333333333333304,0.9747336652260992,0.0122001218692428
M1-Fair (CV7),cv7,blind,gender,0.5,2400,0.0062514858132080575,0.0008333615026899915,0.03961714411476947,0.9875758948893099,0.923836756586419,0.9983346567607848,True,0.6860706358916393,0.002484327064158909,-0.009166666666666712,0.9747336652260992,0.0122001218692428
M1-Fair (CV7),cv7,blind,ethnicity,0.02,96,0.008480035018358156,0.0020884556689017876,0.018486576226300178,0.6547103689960833,0.36370381014899683,0.900007099272226,False,0.22556514634539493,0.13308270676691725,0.13541666666666669,0.9630956466558314,0.0180009949227355
M1-Fair (CV7),cv7,blind,ethnicity,0.05,240,0.010010022817904592,0.002691495133157326,0.02567519889313996,0.8143489954121184,0.5913976817660435,0.947769719462983,True,0.37707980523179213,0.1661904761904761,0.0625,0.9630956466558314,0.0180009949227355
M1-Fair (CV7),cv7,blind,ethnicity,0.1,480,0.0011885679391976656,0.00242899775288941,0.028437298641782058,0.9882034632034632,0.7490988837878964,0.9759612105558879,True,0.9924366851140307,0.045291966402764894,-0.002083333333333326,0.9630956466558314,0.0180009949227355
M1-Fair (CV7),cv7,blind,ethnicity,0.2,960,0.017976911475565183,0.00404006748683781,0.04641021459392297,0.9133740972703128,0.7875088202986088,0.9800397967010844,True,0.4209271743709102,0.05062509646550395,0.03125,0.9630956466558314,0.0180009949227355
M1-Fair (CV7),cv7,blind,ethnicity,0.3,1440,0.009362143979533055,0.003753960996165882,0.04597889042107867,0.969274445170051,0.8577221569924173,0.9875745626829996,True,0.8469730905164218,0.007953304778701598,0.011805555555555569,0.9630956466558314,0.0180009949227355
M1-Fair (CV7),cv7,blind,ethnicity,0.5,2400,0.015601475699997869,0.005060006020203885,0.058767011098359134,0.9694295408581123,0.8887418566095933,0.9899320429590306,True,0.5996873383817256,0.03308500765043765,0.005833333333333357,0.9630956466558314,0.0180009949227355
M2-Multimodal (CV7+Face),cv7+face,blind,gender,0.02,96,0.00021671817485787934,0.0001500427468355989,0.009285650043890103,0.9892215879157418,0.6234386706728368,0.9925254358797795,True,1.0,0.12896222318714712,0.020833333333333315,0.9704823797458184,0.0142903756118424
M2-Multimodal (CV7+Face),cv7+face,blind,gender,0.05,240,0.002375564609019054,0.0002083555796566935,0.015752974661321677,0.9536077754453551,0.7280801240552321,0.9958416392256955,True,0.7555709707859568,0.041067333750260615,0.008333333333333304,0.9704823797458184,0.0142903756118424
M2-Multimodal (CV7+Face),cv7+face,blind,gender,0.1,480,0.00725172354332132,0.00041668294334414047,0.023922439628913585,0.930057866396456,0.7869486519185345,0.9958417824198972,True,0.4300306808518445,0.011250781304257274,0.020833333333333315,0.9704823797458184,0.0142903756118424
M2-Multimodal (CV7+Face),cv7+face,blind,gender,0.2,960,0.020338167178970162,0.0015008065887093316,0.04419440806940697,0.9033016317024014,0.8014968275235105,0.9925233925967225,True,0.08452045526310557,0.009883198562443907,0.03541666666666665,0.9704823797458184,0.0142903756118424
M2-Multimodal (CV7+Face),cv7+face,blind,gender,0.3,1440,0.017587513421158607,0.000914753786755232,0.043458134871321205,0.943069459980551,0.865005202326268,0.9969554017045243,True,0.19434498036656322,0.01715754376215617,0.01388888888888884,0.9704823797458184,0.0142903756118424
M2-Multimodal (CV7+Face),cv7+face,blind,gender,0.5,2400,0.014586800230818708,0.00041678801276776587,0.040442582703792966,0.9712522027144082,0.9222828864317372,0.9991667771771681,True,0.3262909761203763,0.013271975456849439,-0.0008333333333332971,0.9704823797458184,0.0142903756118424
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,0.02,96,0.012213197621617917,0.003135077339966855,0.019759538742062994,0.5269620043139207,0.3247762464708793,0.8545239020675596,False,0.046068915302256486,0.32298136645962733,0.19791666666666666,0.9606822293965304,0.0192521497437678
M2-Multimodal (CV7+Face),cv7+face,blind,ethnicity,0.05,240,0.01024769880473371,0.003258988717279156,0.026569800637818674,0.8107750499777078,0.5753556917891203,0.9374310554906137,True,0.3715589590042008,0.16761904761904767,0.0625,0.9606822293965304,0.0192521497437678
