model,attribute,threshold,group,n,selected,selection_rate,share_of_topk
M1-Fair (CV7),gender,0.02,Male,2437,49,0.020106688551497744,0.5104166666666666
M1-Fair (CV7),gender,0.02,Female,2363,47,0.019889970376639865,0.4895833333333333
M1-Fair (CV7),gender,0.05,Male,2437,121,0.049651210504718914,0.5041666666666667
M1-Fair (CV7),gender,0.05,Female,2363,119,0.050359712230215826,0.49583333333333335
M1-Fair (CV7),gender,0.1,Male,2437,235,0.09643003693065244,0.4895833333333333
M1-Fair (CV7),gender,0.1,Female,2363,245,0.10368176047397376,0.5104166666666666
M1-Fair (CV7),gender,0.2,Male,2437,467,0.191629052113254,0.4864583333333333
M1-Fair (CV7),gender,0.2,Female,2363,493,0.20863309352517986,0.5135416666666667
M1-Fair (CV7),gender,0.3,Male,2437,714,0.29298317603610996,0.49583333333333335
M1-Fair (CV7),gender,0.3,Female,2363,726,0.3072365636902243,0.5041666666666667
M1-Fair (CV7),gender,0.5,Male,2437,1211,0.4969224456298728,0.5045833333333334
M1-Fair (CV7),gender,0.5,Female,2363,1189,0.5031739314430809,0.49541666666666667
M1-Fair (CV7),ethnicity,0.02,G1,1595,31,0.019435736677115987,0.3229166666666667
M1-Fair (CV7),ethnicity,0.02,G2,1588,39,0.02455919395465995,0.40625
M1-Fair (CV7),ethnicity,0.02,G3,1617,26,0.016079158936301793,0.2708333333333333
M1-Fair (CV7),ethnicity,0.05,G1,1595,86,0.053918495297805645,0.35833333333333334
M1-Fair (CV7),ethnicity,0.05,G2,1588,83,0.052267002518891686,0.3458333333333333
M1-Fair (CV7),ethnicity,0.05,G3,1617,71,0.04390847247990105,0.29583333333333334
M1-Fair (CV7),ethnicity,0.1,G1,1595,159,0.09968652037617555,0.33125
M1-Fair (CV7),ethnicity,0.1,G2,1588,160,0.10075566750629723,0.3333333333333333
M1-Fair (CV7),ethnicity,0.1,G3,1617,161,0.09956709956709957,0.33541666666666664
M1-Fair (CV7),ethnicity,0.2,G1,1595,331,0.20752351097178684,0.34479166666666666
M1-Fair (CV7),ethnicity,0.2,G2,1588,301,0.18954659949622166,0.31354166666666666
M1-Fair (CV7),ethnicity,0.2,G3,1617,328,0.2028447742733457,0.3416666666666667
M1-Fair (CV7),ethnicity,0.3,G1,1595,486,0.3047021943573668,0.3375
M1-Fair (CV7),ethnicity,0.3,G2,1588,469,0.29534005037783373,0.32569444444444445
M1-Fair (CV7),ethnicity,0.3,G3,1617,485,0.29993815708101423,0.3368055555555556
M1-Fair (CV7),ethnicity,0.5,G1,1595,814,0.5103448275862069,0.33916666666666667
M1-Fair (CV7),ethnicity,0.5,G2,1588,786,0.49496221662468515,0.3275
M1-Fair (CV7),ethnicity,0.5,G3,1617,800,0.49474335188620905,0.3333333333333333
M2-Multimodal (CV7+Face),gender,0.02,Male,2437,49,0.020106688551497744,0.5104166666666666
